ID;Název;Stavba;Investor;Klient;"Rozsah služby";Realizace;"Rozpočtové náklady";Popis;Datum;Č.zak.;HIP;Menu;"Významná reference"
40;"České údolí";"Multifunkční sportovní areál České Údolí";"Úřad městského obvodu Plzeň 3";"D Plus, projektová a inženýrská a.s.";"DÚR 2008, DSP 2009";;"25 mil. Kč";"Předmětem projektu byl proveden návrh komunikací a zpevněných ploch v rámci nově budovaného multifunkčního sportovního areálu  u vodního díla České Údolí ve stávající lokalitě na pravobřežní straně „Borské“ přehrady u hráze, která už desetiletí slouží jako rekreační zóna nejen přilehlé městské části, ale prakticky celého okolí Plzně. Jmenovitě se tedy jedná o úsek místní komunikace kategorie MO2 14,25/9,50/40 ulice V Lukách, která se průsečnou křižovatkou napojuje na stávající komunikaci - ulice Klatovská. Úsek komunikace délky 143m slouží k příjezdu vozidel do sportovního areálu respektive k jeho parkovacím plochám. Po pravé straně komunikace je navržen chodník šířky 2,25m, který je od komunikace oddělen zeleným pásem šířky 3m. Dále jsou pak navrženy veškeré  chodníky uvnitř areálu celkové délky cca 1100m a jednotné šířky 2m. Jsou vedeny tak, aby byl zajištěn pohodlný pohyb návštěvníků v rámci sportovního centra. Celým areálem v souběhu s pěšími trasami prochází cyklostezka šířky 2.5m.  Součástí objektu je rovněž návrh in-line oválu šířky 7m a délky 400m s živičným povrchem. Navrženy jsou i nezbytné úpravy terénu, ohumusování a zatravnění nezpevněných ploch.%% _x000D_Technické řešení je rozděleno na dvě části – Dopravní napojení, tj. úpravy ulic Klatovská a V Lukách, dále vnitřní areálové komunikace a vnitřní areálové chodníky, cyklostezka a in-line okruh._x000D_
";"12. 03. 2015";24008.1-2;JB;dstavby;
6;Chodov;"Centrum Praha Jih Chodov, Budova A východ";"RODAMCO Europe";"HELIKA a.s";"RDS 2004";"2004 - 2005";"Hrubá stavba 300 mil. Kč";"Budova A je hlavní objekt nového obchodního centra Chodov v Praze. Provozně jednotný objekt sestává ze tří samostatných konstrukčních částí - ocelová konstrukce nad Roztylskou ulicí, betonová východní a západní část. Prezentovaná východní část je šestipodlažní. V úrovních - 3 a - 2 jsou umístěna parkoviště P+R, úroveň - 1 a M zahrnuje parkoviště pro návštěvníky a zásobování centra. Na úrovni 0 a + 1 jsou umístěny obchodní jednotky s kruhovým náměstím (východní věž) a nákupní pasáží. Na střeše objektu je situováno sportcentrum a další parkoviště, příjezd vozidel je zajištěn dvěma kruhovými rampami (rondely) po stranách objektu. Nosná konstrukce objektu ¨A-východ¨ je tvořena železobetonovým skeletem, sestávajícím z pěti dilatačních celků, základní modulová osnova je navržena v rozteči 8,10 x 7,50. Budova půdorysných rozměrů cca 180 x 100 m je šestipodlažní, 3 podzemní podlaží jsou doplněna mezaninem a dvěma nadzemními podlažími. V příčném řezu je objekt výškově odstupňován, dilatační celky AV1 až AV3 jsou ukončeny na úrovni 0. V podzemních podlažích objektu byly při stlačené konstrukční výšce 2,75 m navrženy bezprůvlakové spřažené filigránové stropy, bodově podepřené na monolitických sloupech. V nadzemních podlažích (dilatační celky AV4, AV5 a částečně AV3) je konstrukční výška minimálně 5,50 m, proto byla maximalizována míra prefabrikace. Stropní konstrukce je navržena jako trámový strop ze spojitých primárních nosníků a jednosměrně pnutých spřažených desek, prefabrikované sloupy jsou děleny stropními deskami a stykovány pomocí svarů. Pro samonosné prefabrikáty stropních desek byly navrženy nosníky Montaquick, které ve spojení s předepsaným dvoufázovým postupem betonáže umožnily betonování stropních desek bez nutnosti podstojkování.";"12. 03. 2015";11604.1-1;VV;pstavby;1
59;"ČT Kavčí Hory";"Areál ČT Kavčí hory, oprava parkoviště Sever";"Česká televize - Kavčí hory";"Česká televize - Kavčí hory";"Projekt DZ 2006, Studie variant 2010, DUR 2010";2011;"9 mil. Kč";"Zadáním investora bylo vyřešit dopravní situaci v oblasti parkoviště a podzemních garáží v areálu České televize - Kavčí hory v Praze 4 Podolí. %%_x000D_Nejprve byl v roce 2006 vypracován jednostupňový projekt vodorovného a svislého dopravního značení jak na venkovních plochách, tak ve vnitřních garážích. %%_x000D_
V roce 2010 pak následovala studie dopravního řešení severního parkoviště areálu z důvodu zpřehlednění a zkapacitnění celého parkoviště. To je tvořeno ulicí na Hřebenech II západně od ulice Na Klaudiánce a slouží jako hlavní parkoviště ČT. Zároveň zajišťuje dopravní obsluhu nové bytové výstavby severně od parkoviště a areálů v přilehlé části parku. Vypracovány byly tři varianty, lišící se způsobem rozmístění parkovacích stání. Z těch byla následně vybrána výsledná varianta a zpracována ve stupni DUR. Varianta počítala s 209 parkovacími stáními (z toho 6 pro invalidy). V rámci DUR byla zpracována i nezbytná oprava veřejného osvětlení a přeložka vodovodního řadu DN 300 v oblasti parkoviště._x000D_
";"12. 03. 2015";15106.2-2;JB;dstavby;
60;Dražkovská;"TV Vinoř, etapa 0013, Dražkovská";"OMI MHMP";"OMI MHMP";"DÚR 2008";"v přípravě";"36 mil. Kč";"Projekt zpracovává návrh nové místní komunikace spojující silnici II/610 ulici Mladoboleslavskou s ulicí Bohdanečskou v místě zárodku ulice Dražkovské v Praze 19 Vinoři. %%_x000D_Komunikace je situována severojižním směrem na východní straně městské části Vinoř. Trasa je umístěna do volných pozemků stávajících polí. Území stavby je rovinaté s nejvyšším místem cca ve třetině trasy. V trase komunikace se nachází rozvodí. Po obou stranách komunikace jsou připravovány a již i částečně realizovány obytné areály lokalita Na Dlouhých (firma Bemett), Semtínská (Vinořská spol.) a lokalita Dubanská (Vinoř Development). Návrh vychází z 1. varianty vyhledávací studie z roku 2007. Zároveň s komunikací bude realizována nová okružní křižovatka na ulici Mladoboleslavské, která bude mít významný podíl na zvýšení bezpečnosti dopravy. Realizací Dražkovské se značně omezí průjezd dopravy do nových obytných lokalit.%%_x000D_
Komunikace je navržena jako dvoupruhová, místní obslužná, funkční skupiny C, typu MO 2k 7,5 / 7,5 / 50,  extravilánového typu s oboustrannými příkopy mající retenční a vsakovací funkci. Celková délka trasy komunikace je 500 m. Po celé délce je v souběhu s chodníkem vedena cyklostezka šíře 2.5m s výhledovou návazností na Satalice._x000D_
";"12. 03. 2015";25108.1-2;JB;dstavby;
31;"Estakáda Považská Bystrica, SK";"D1 Sverepec-Vrtižer, Estakáda Považská Bystrica";"Národná dialničná spoločnosť Bratislava";"Dopravoprojekt Bratislava, Valbek SK";"DSP+DZS 2005, RDS 2007";2007-2009;"135 mil. SK";"Křižovatka „Centrum“ se nachází v blízkosti města Považská Bystrica v prostoru mezi řekou Váh a Hričovským kanálem a napojuje město na nově budovanou dálnici D1. Větší část křižovatky je navržena na mostních estakádách, navržený objekt převádí rampu 2, sestávající z navazujících větví V2 a V5-3, s odpojením větve V3._x000D_Mostní objekt je navržen jako spojitý nosník o devíti polích rozpětí 7x34 + 30,20 + 23,70m. Estakáda je půdorysně zakřivená, vedená postupně v oblouku R=50m, přechodnici a oblouku R=380m, s odpojením větve V3 ve střední části mostu. Příčný řez tvoří jednokomorový průřez konstantní výšky 2,40m, stěny jsou ukloněny pod úhlem 45°. Pro odpojení větve V3 je jednokomorový průřez rozpleten do dvoukomorového._x000D_
Nosná konstrukce je navržena z dodatečně předpjatého betonu s výstavbou po jednotlivých polích na pevné skruži. Pro předpětí jsou navrženy průběžné zvedané devatenáctilanové kabely se soudržností, vedené pouze  ve stěnách průřezu._x000D_
Spodní stavba je tvořena třemi dilatačními a osmi vnitřními pilíři, založenými plošně na základových deskách. Všechny pilíře jsou obdélníkového tvaru. Uložení nosné konstrukce je v běžném případě navrženo na dvou ložiskách na pilíři, v některých případech pro eliminaci nepříznivých účinků kroucení je navrženo ložisko jedno._x000D_
Hlavními problémy při návrhu konstrukce byla značná šířka jednokomorového průřezu a půdorysné zakřivení mostu. V oblasti malého půdorysného oblouku musely být zohledněny vodorovné účinky zvedaných předpínacích kabelů a podrobně analyzováno rozmístění ložisek pro eliminaci tahových sil v podepření._x000D_
";"12. 03. 2015";"12705.2-1, 12708.3-1";VV;zahranici;
5;Europark;"Europark Praha Štěrboholy";"Aspiag AG (Interspar)";"EUROPARK SHOPPING CENTER, a.s.";"RDS 2000 - 2001";2001;"Hrubá stavba 200 mil. Kč";"Stavba obchodního centra v prostoru křižovatky Průmyslové ulice a Jižní cesty byla pod názvem FMC Štěrboholy připravována rakouskou developerskou společností Plan&Bau přibližně od roku 1998. Po získání stavebního povolení převzala další přípravu švýcarská společnost ASPIAG investorské skupiny Interspar, která ve spolupráci s rakouskou architektonickou kanceláří Architektur & Generalplanung International zásadně přepracovala dispoziční řešení objektu a pod změněným názvem Europark Praha neprodleně přistoupila k realizaci. Hlavní objekt půdorysných rozměrů přibližně 250 x 100 m a modulovém rastru 10,50 x 8,50 m je navržen v kombinaci prefabrikovaných a monolitických železobetonových konstrukcí, s doplňkovými ocelovými konstrukcemi. Zatímco prefabrikovaná část sestává prakticky ze tří základních konstrukčních prvků, realizovaných na převážné části půdorysu, monolitické konstrukce jsou navrženy ve všech problematických částech budovy. Koncepce staticko-konstrukčního řešení objektu byla minimální a navíc byla v průběhu realizace trvale upravována. Architektonický návrh vycházel prakticky ze zkušeností s obdobnými objekty a předpokladu, aby při daném modulovém rastru bylo s ohledem na požadovanou rychlost výstavby maximum konstrukcí prefabrikováno. Pro monolitické provedení byla vytipována servisní jádra a další oblasti, jejich skutečný rozsah a konkrétní konstrukční řešení bylo však upřesňováno až těsně před realizací. Dokumentaci prefabrikované části zpracovávala v rámci dodávky stavby projekční skupina PREFA PRAHA, monolitické části včetně založení celého objektu kancelář VIN Consult. Základní parametry návrhu: Modulová osnova 8,5 x 10,5 m; 1 podzemní a 2 nadzemní podlaží (atika + 12,50), administrativní objekt 5 nadzemních podlaží (atika + 19,50), obloukové zastřešení Mallu.";"12. 03. 2015";00602.1-1;VV;pstavby;1
86;"Generel Prostějov";"Prostějov – generel výstavby";"Ministerstvo obrany ČR";"SUDOP Praha a.s.";"Studie 2007";-;-;"Náplní řešení je studie dopravního řešení rekonstruovaného areálu kasáren a letiště v Prostějově. Celý areál je napojen ulicí Leteckou na dopravní infrastrukturu Prostějova v křižovatce ulic Dolní, Kralická a dále rampami mimoúrovňové křižovatky na dálnici D1 Prostějov – centrum. Celkově se jedná o 6,91km upravovaných komunikací. Jejich šířkové uspořádání je až na výjimky shodné a povrch živičný, v odůvodněných případech betonový.%%_x000D_Nedílnou součástí je řešení doprava v klidu. Dochází ke zrušení a omezení parkování u téměř všech objektů. Navrženy jsou tří nová základní parkoviště A, B a C s počtem celkem 641 stání. Další stání jsou situována u hlavních administrativně provozních budov, ubytovny, sportovišť a jídelního bloku v celkovém počtu 152 stání. Na příjezdové komunikaci je zachováno 26 parkovacích stání. Celkový počet navrhovaných stání pro osobní automobily činí na celém řešeném území 819 stání. Příjezdová komunikace, ulice Letecká,  tvoří hlavní a také jedinou spojnici areálu kasáren a letiště s Prostějovem. Délka upravované komunikace je cca 1,0km. Zásadní změnou je zde změna charakteru komunikace z extravilánového typu na typ intravilánový s obrubníky po obou stranách. Po celé délce je rovněž navržen podél stávajícího oplocení nový chodník šíře 1,5 - 3m, odsazený od vlastní komunikace._x000D_
";"12. 03. 2015";20707.1-2;JB;dstavby;
77;"Horusice - Veselí";"Modernizace trati Ševětín - Veselí nad Lužnicí - II. část - úsek Horusice - Veselí nad Lužnicí";"SŽDC s.o., SS Praha";"SUDOP Praha a.s.";"Projekt 2009";"V přípravě";"8,5 mil. Kč";"Dokumentace je návrh komunikací, zpevněných ploch a dopravních opatření v rámci modernizace stávající železniční trati Ševětín – Veselí nad Lužnicí (úsek Horusice – Veselí nad Lužnicí). Konkrétně byly v rámci stavby navrženy čtyři stavební objekty, tři z nich se zabývají návrhem zpevněných ploch a komunikací, poslední stavební objekt řeší dopravní opatření v době výstavby trati.%%_x000D_Z projekčního hlediska se jedná o úpravy a vyřešení příjezdu k výpravní budově, resp. objektu TT/TO. Nedílnou součástí návrhů bylo i vyřešení dopravy v klidu. V rámci návrhu bylo potřeba vyřešit především výškové napojení na požadované vstupy do jednotlivých objektů. _x000D_
";"12. 03. 2015";25509.4-2;JH;dstavby;
7;"IKEA II Zličín";"IKEA II Shopping park Praha, Praha 5, Zličín";"Skanska Stav s.r.o.";"PREFA PRAHA  a.s.";"RDS 1998";1998;"Hrubá stavba 55 mil. Kč";"Stavba IKEA II obchodního centra Zličín je tvořena dvěma halovými objekty. Oba objekty jsou půdorysného lichoběžníkového tvaru, rozměrů 60 x 100 m (objekt A), resp. 60 x 350 m (objekt B+C), max. výšky 11 m nad upraveným terénem. Haly jsou navrženy jako montované skelety z železobetonových tyčových prefabrikátů, střešní vazníky jsou předpjaté. Rozteč sloupů je 12 x 24 m, v částech vložených ¨mezistropů¨ 12 x 12 m, v oblasti zásobovacího dvora 18 m. Stropní konstrukce mezipater jsou navrženy jako spřažené beton/beton předpjaté.";"12. 03. 1998";1-110-505;VV;pstavby;
8;Kartouzská;"Strahovský tunel - západní most přes Plzeňskou, Praha 5";"OMI MHMP";"Metrostav a.s.";"RDS 1994 - 1995";"1995 - 1997";"70 mil. Kč";"Přemostění Plzeňské a Kartouzské ulice je součástí rozsáhlé mimoúrovňové křižovatky silničního okruhu s městskými třídami s kombinovanou automobilovou a tramvajovou dopravou. Mostní objekt propojuje jižní portál Strahovského tunelu se severním portálem tunelu Mrázovka, se sjízdnými rampami do Plzeňské a Kartouzské ulice. Projektová příprava byla zahájena v roce 1987 a prošla několika různými variantami dispozičního řešení křižovatky i technologie mostního objektu. Koncepce projektového řešení mostních objektů byla vypracována v letech 1992/1993. Definitivní dispoziční řešení křižovatky z roku 1996 ještě redukuje rozsah mostních objektů, základní uspořádání podpor jakož i tvar průřezu již zůstaly zachovány. V témže roce došlo ještě k zaoblení příčného řezu na základě vybraného architektonického návrhu na design mostu. Západní most přes Plzeňskou a Kartouzskou ulici sestává ze dvou samostatných mostních objektů. Hlavní most o 4 polích celkové délky cca 113 m je navržen jako spojitá desková konstrukce z předpjatého betonu. Rampový most tvoří v půdoryse monolitický trojúhelník s vnitřním zrcadlem, s ohledem na rozpětí polí max. 25 m a poloměry zakřivení min. 30 m je navržen jako železobetonový bez použití předpětí. Koncepce návrhu přemostění vychází z centrálního podepření vícekomorového příčného řezu na vnitřních podporách obou mostů. U hlavního mostu jsou navrženy stěnové podpěry se dvěma ložisky, u rampových mostů bodové podpěry s jedním ložiskem. Za účelem dosažení kompaktního podhledu zaoblené deskové konstrukce bez konzol jsou dílčí příčné řezy rampových mostů výrazně nesymetrické ke svislé ose, s příslušnými důsledky pro statický výpočet. Zajímavostí konstrukčního řešení rampových mostů je mj. návrh staticky spolupůsobícího bednění horní desky komorového průřezu ve formě filigránových desek s tlačeným betonovým pásem, které umožnilo hospodárnější návrh nosné konstrukce a zároveň výrazně zjednodušilo technologii provádění.";"12. 03. 1996";111;VV;mosty;1
61;Kartouzská;"Poliklinika Kartouzská, dopravní napojení a úprava SSZ";"Medifin s.r.o.";"Medifin s.r.o.";"DSP 2008, RDS 2009";2009;"3.5 mil. Kč";"Předmětem byla výstavba nové komunikace, která bude sloužit jako dopravní napojení nového Pavilonu JIH Polikliniky Kartouzská. %%_x000D_Komunikace je vedená v zeleni v odsazené poloze podél komunikace Kartouzská a slouží pro obsluhu nového pavilonu, resp. příjezdu a odjezdu z podzemních garáží a na nové parkoviště návštěvníků pavilonu.%%_x000D_
Součástí projektu byl návrh složitých dopravních opatření v průběhu realizace stavby a dopravní připojení na hlavní komunikaci.%%_x000D_
";"12. 03. 2015";21207.1-2;JB;dstavby;
56;Kbely;"Stavba č 0093 – TV Kbely, etapa 0012, komunikace";"OMI MHMP";"A.D.O. dopravní a projektová kancelář";"DUR 2002, DSP2003";2004;"9 mil. Kč";"Dokumentace vychází z návrhu úprav ulic dle předchozích etap, které byly součástí staveb TV Kbely a řeší dvě ohraničené oblasti. Jedná se celkem o 7 ulic zatříděných do funkční třídy D.%%_x000D_V dokumentaci jsou řešeny ulice Sovenická, Bakovská, Svijanská, Jabkenická, Pelnářova, Albrechtická, Železnobrodská.%%_x000D_
Oprava obnovuje krytové vrstvy (frézování, vyrovnání obrub, odstranění lokálních poruch a pokládka nových vrstev).%%_x000D_
Chodníky jsou proti vozovce zvýšené a dle možnosti i prostorově odděleny pruhem zeleně. Kryt chodníků je navržen ze zámkové dlažby okrové barvy. Parkovací stání nebo parkovací pruhy pro osobní vozidla jsou provedeny ze zámkové dlažby šedé barvy, vjezdy a manipulační plochy z dlažby červené barvy.%%_x000D_
Odvodnění těchto ulic je realizováno pomocí stávajících uličních vpustí. Místně bylo třeba uliční vpusť posunout a v každém případě výškově upravit.%% _x000D_
Ulice jsou vybaveny dlážděnými zpomalovacími pruhy.%% _x000D_
Šířky komunikací byly většinou zachovány._x000D_
";"12. 03. 2015";00802.3-2;JB;dstavby;
51;"Kbely, Jilemnická";"Stavba č. 0093 TV Kbely, etapa 0010, Rekonstrukce ulice Jilemnické";"OMI MHMP";"TSK hl. m. Prahy";"DÚR 2004, DSP 2004, DZS 2005, RDS 2005";2005;"15 mil. Kč";"Stávající ulice Jilemnická tvoří spojnici Kbel s Vinoří a Přezleticemi. Od ulice Toužimské směřuje komunikace severním směrem po západním okraji sídlištní zástavby ve Kbelích v délce 420 m, následuje křížení s železniční tratí Praha – Neratovice – Všetaty a dále volným terénem do Vinoře. Komunikace má živičný povrch s proměnnou šířkou 4,5 – 5,0 m. Délka rekonstruovaného úseku vychází 513,0 m a končí na hranici drážního pozemku cca 13 m před kolejí (dr. km 16.735 trati Praha – Všetaty).%%_x000D_Půdorysné umístění se shoduje se stávající polohou, ale dochází k dílčímu rozšíření, sjednocení na šířku vozovky 6,0 m a zřízení chodníku šíře 1.25m. Do prostoru volných parcel západně od Jilemnické je navrženo nové parkoviště.%%_x000D_
Realizací vozovek, chodníků a parkoviště nedochází k významným zásahům do území. Součástí stavby jsou vyvolané úpravy na kabelech PRE, místní sítě Českého Telecomu, plynovodní přípojce a doplnění uličních vpustí. V rámci stavby bude zřízeno nové veřejné osvětlení. Do volné plochy je navrženo nové parkoviště._x000D_
";"12. 03. 2015";00803.6-2;JB;dstavby;
79;"KFC Kačerov";"Areál KFC Kačerov";"AmRest, s.r.o.";"ARA, spol. s r.o.";"Studie + DUR 2010";připravována;"6  mil. Kč";"Jedná se o návrh komunikací a zpevněných ploch pro novou restaurace KFC u areálu garáží DP v Praze 4 – Kačerově. Dokumentace řeší nejbližší okolí objektu z hlediska chodníkových ploch, příjezdové komunikace,drive komunikace a parkovacích stání pro návštěvníky restaurace.%% _x000D_Šířka hlavní obousměrné komunikace délky zhruba 104m se od východu k západu zužuje z 6m až na 4,45m u výjezdu z areálu z důvodu hranic přilehlého využitelného pozemku. Objízdná jednosměrná “drive“ komunikace délky zhruba 65 m má pak jednotnou šířku 3,0m. Složitost dopravního řešení spočívá zejména ve způsobu napojení areálu na komunikační síť. Dostupnost areálu je zajištěna dvoupruhovou jednosměrnou odbočovací rampou, která primárně slouží jako spojující komunikace přilehlých objektů čerpací stanice a autobusových garáží s dálnicí D1 (ulice 5. května) resp. Jižní spojku. Součástí návrhu je rovněž řešení dopravy v klidu. Bylo navrženo celkem 46 parkovacích stání, z toho 3 stání pro invalidy._x000D_
";"12. 03. 2015";30710.1-2;;dstavby;
34;"Komunikace Rokytka";"Rokytka-rozvoj území, cyklostezka";"OMI MHMP";"OMI MHMP";"DUR 2006, DSP 2007, RDS 2009";2009;"120 mil. Kč";"Nová cyklostezka v Praze 9 v délce cca 3,5km propojuje oblast Hořejšího rybníka s křižovatkou ulic Ocelářská a Freyova, v převážné části je vedena po tělese zrušené železniční vlečky ČKD.%%_x000D_Navrhovaná stavba je součástí širšího záměru vybudovat v prostoru kolem říčky Rokytky, v úseku mezi Hořejším rybníkem a ulicí Freyovou pás ploch zeleně a rekreace. V převážné části své délky cyklostezka využívá tělesa bývalé železniční vlečky. Celková délka nově navrhované trasy je 3 424,5 m, z toho asfaltová cyklostezka 3 149,5 m, stezka s mlatovým povrchem 275 m.%%_x000D_
Cyklistická stezka je zařazena do funkční třídy D2 – komunikace cyklistické. Jedná se o samostatnou stezku obousměrnou pro cyklisty šíře 3,5 m. S použitím cyklostezky pro pěší dopravu se neuvažuje, s výjimkou krátkého úseku mezi mostem Freyova a Rokytkou s přemostěním ulice Ocelářské. Asfaltový povrch je ohraničen betonovými krajníky ABO 4–8 do betonového lože, které jsou zapuštěny na úroveň stezky.%%_x000D_
V rámci stavby cyklostezky je nově navrženo nebo rekonstruováno celkem 6 mostních objektů. Jedná se o mimoúrovňové křížení s ulicemi Ocelářskou (nová lávka), Freyovou (rekonstrukce stávajícího železničního mostu), U Elektry (nová lávka) a Poděbradskou (rekonstrukce stávajícího železničního mostu). Součástí stavby je dále vybudování 2 nadjezdů s lávkami v prostoru východně od ulice U Elektry, které budou sloužit jako mimoúrovňové příjezdy do podzemních garáží nově připravovaných bytových domů.%%_x000D_
Z hlediska komunikačního řešení byla problematická oblast křižovatky Freyova-Ocelářská s propojením mezi lávkou přes Ocelářskou a předmostím mostu Freyova. Zde prochází trasa cyklostezky pozemkem investora s připravovanou výstavbou výškové budovy a navržené řešení muselo zajistit trvalou průjezdnost cyklostezky v průběhu výhledové výstavby._x000D_
";"12. 03. 2015";15408.6-1;JB;dstavby;
52;"Komunikace Svojšín";"Mimoúrovňové křížení Svojšín - komunikace";"Správa železniční dopravní cesty, Stavební zpráva ";"SUDOP Praha a.s.";"DÚR 2004-2006, DSP+RDS 2006-2007";"2007- 2009";"10 mil. Kč";"Stavební objekt řeší přeložku silnice III/1992. Tato silnice byla přes trať převedena úrovňovým přejezdem. Nové řešení je spojeno se zbudováním mostu, po kterém bude vedena trať. Komunikace je navrhnuta v podjezdu, čímže se eliminují kolizní body vozidel s vlaky. Stávající komunikace III/1992 bude v přilehlém úseku částečně zdemolována, její část bude zachována a používána dále jako místní obslužná komunikace.%% _x000D_Celková délka navrhované úseku silnice III. třídy činí 300 m.  Je navrženo nové výškové i směrové řešení.%% _x000D_
Vozovka je kategorie MO2 9,25/7,75/50. Jedna strana je navržena jako extravilánová, s nezpevněnou krajnicí 0,25m se zpevněním ŠD 0/32 v tl. 10 cm a příslušným zabezpečovacím zařízením, strana druhá je navržena jako intravilánová s chodníkem jednotné šířky 2,0. Jízdní pruhy mají šířku 3,0m, v oblouku se základní hodnota zvyšuje o příslušné rozšíření. Dále je uvažováno 0,25m pro vodící proužek a 0,25m pro zpevněnou krajnici._x000D_
";"12. 03. 2015";11806.1-2;JB;dstavby;
62;Květnice;"TI a komunikace pro výstavbu RD Květnice";"Sdružení spokojené bydlení, J. Schneeweis, J. Směl";"FLIPPER STAV s.r.o.";"RDS 2003";"ve výstavbě";"35 mil. Kč";"Plánovaná výstavba infrastruktury byla určena pro lokalitu výstavby rodinných domů v západní části katastrálního území Květnice v okrese Praha – východ. %%_x000D_Výstavba infrastruktury řeší realizaci potřebných inženýrských sítí – vodovod, plynovod, splašková kanalizace, silnoproud, slaboproud. Součástí je rovněž výstavba nových vozovek a chodníků v dané lokalitě a oprava vozovky III/01211 Sibřina – Květnice, která dělí místo stavby na severní a jižní část.%%_x000D_
Podstatnou částí projektu byl návrh odvodnění komunikací, které bylo řešeno dílčím vsakováním v kombinaci se zřízením dešťové kanalizace zahuštěné do vodoteče. V důsledku nepříznivých geologických a morfologických podmínek území byl problematický především celkový hydrotechnický návrh stavby._x000D_
";"12. 03. 2015";07503.1-2;JB;dstavby;
87;"Lávka Elektra";"Cyklostezka Rokytka, Lávka nad ul. U Elektry";"OMI MHMP";"OMI MHMP";"DUR 2006, DSP 2007, RDS 2009";2009;"15 mil. Kč";"V souvislosti s výstavbou nových bytových domů staveb „Rezidence nad Rokytkou“ bylo realizováno rozšíření ulice U Elektry, stávající podjezd procházející násypovým tělesem bývalé železniční vlečky byl proto demolován. V rámci nového návrhu bylo křížení obou komunikací odlehčena a cyklostezka s chodníkem je převedena po obloukové lávce o jednom poli délky 21,0m.%%_x000D_	_x000D_
Nová komunikace U Elektry je navržena celkové šířky 7,0m s oboustrannými chodníky šířky 2,25m. Minimální požadovaná podjezdná výška pro návrh mostní konstrukce je 4,20+0,15m, skutečná minimální volná výška činí 4,50m.%%_x000D_
Nosná konstrukce mostovky lávky je spřažená ocelobetonová, zavěšená na ocelovém oblouku. Celkové rozpětí mostovky je 21,0m, rozpětí oblouku je 19,80m, konstrukční výška ocelobetonové mostovky je 450mm.%%_x000D_
Ocelový rošt mostovky je tvořen třemi podélníky z válcovaných profilů HEB300 a svařovanými příčníky. Železobetonová deska mostovky je tloušťky minimálně 150mm.%%_x000D_
Ocelové oblouky jsou komorového obdélníkového průřezu, kotvení do opěr je navrženo pomocí dodatečně vrtaných lepených kotev.%%_x000D_
V podélném směru je nosná konstrukce podepřena na opěrách a ve čtyřech vnitřních podporách je vynášena ocelovými oblouky – v místě průchodu oblouky je uložena na příčník prostřednictvím elastomerových ložisek, ve vnitřní třetině je zavěšena na oblouky prostřednictvím svislých táhel. Dílčí rozpětí mostovky je takto 3,06+5,04+4,80+5,04+3,06m, v místě podpory je vždy navržen příčník.%%_x000D_
Spodní stavba objektu je tvořena dvěma krajními opěrami. Krajní opěry jsou navrženy monolitické železobetonové s vyvěšenými rovnoběžnými křídly. Podél komunikace pod mostem jsou navrženy patní gabionové zídky pro zkrácení délky svahu pod objektem a tím i rozpětí mostu._x000D_
";"12. 03. 2015";15408.6-1;;mosty;
24;"Lávka Krejcárek";"Nové spojení Praha-hl.n.- Holešovice, Lávka pro pěší Krejcárek";"SŽDC s.o., SS Praha";"SUDOP Praha a.s.";"RDS 2006-2007";2007;"20 mil. Kč";"Rampa propojuje plochu mezi kolejemi, která je v budoucnu určena pro oddech obyvatel Prahy s chodníkem vedoucím po silniční estakádě přes Krejcárek. Nosná konstrukce rampy je navržena jako železobetonová monolitická konstrukce a skládá se ze 4 pilířů stěnového průřezu, které jsou vzájemně propojeny parapetním nosníkem. Do nosníku je vetknuta jednostranná konzola proměnné tloušťky, která vytváří mostovku. Mostovka i parapetní nosník jsou v podélném sklonu 8,3 % respektive 2 % na podestách. Celková délka rampy je 134 m, výška nejvyššího pilíře dosahuje 14 m, vnější průměr konstrukce je 16 m a vnitřní průměr je 11 m, šířka rampy je 2,10 m. Na stavbu nosné konstrukce bylo spotřebováno cca 305 m&#179; betonu a 41 tun výztuže. Pilíře spolu s nosníkem vytvářejí válcovou plochu, kterou obepíná mostovka ve tvaru šroubovice se čtyřmi závity. Na vnější straně mostovky je upevněno ocelové zábradlí se šikmou výplní. Rampa má na spodním povrchu mostovky umístěná osvětlovací tělesa, zapuštěná do konstrukce. Pilíře jsou založeny na obdélníkových základech uložených na 4 pilotách &#216; 63 cm.";"12. 03. 2015";00906.5-1;PK;mosty;
